timestamp,step,loss_total,loss_mse,loss_cmc,cos_pos,cos_neg
2026-06-29 11:12:45,167,-0.871248,0.018835,-0.890082,0.618723,0.173682
2026-06-29 11:12:45,168,-0.596025,0.014123,-0.610148,0.582901,0.277827
2026-06-29 11:12:45,169,-0.546912,0.024699,-0.571611,0.478227,0.192422
2026-06-29 11:12:46,170,-1.26757,0.011649,-1.27922,0.772738,0.133128
2026-06-29 11:12:46,171,-1.287595,0.011412,-1.299007,0.812298,0.162794
2026-06-29 11:12:46,172,-0.377403,0.010805,-0.388209,0.826878,0.632774
2026-06-29 11:12:47,173,-1.146546,0.011371,-1.157917,0.815447,0.236488
2026-06-29 11:12:47,174,-1.239643,0.01106,-1.250703,0.897334,0.271983
2026-06-29 11:12:47,175,-0.855445,0.012335,-0.867779,0.898591,0.464702
2026-06-29 11:12:48,176,-0.474031,0.014919,-0.48895,0.669504,0.425029
2026-06-29 11:12:48,177,-0.779879,0.011397,-0.791276,0.712384,0.316746
2026-06-29 11:12:48,178,-1.18285,0.009076,-1.191926,0.856906,0.260942
2026-06-29 11:12:48,179,-0.808818,0.014686,-0.823503,0.685327,0.273575
2026-06-29 11:12:49,180,-0.909088,0.022028,-0.931116,0.850073,0.384515
2026-06-29 11:12:49,181,-0.898043,0.012332,-0.910375,0.758221,0.303033
2026-06-29 11:12:49,182,-0.759825,0.008108,-0.767933,0.924502,0.540536
2026-06-29 11:12:50,183,-0.965769,0.021147,-0.986916,0.729158,0.2357
2026-06-29 11:12:50,184,-0.819432,0.016627,-0.836059,0.859439,0.44141
2026-06-29 11:12:50,185,-1.132238,0.013978,-1.146216,0.80081,0.227701
2026-06-29 11:12:50,186,-0.62192,0.010974,-0.632894,0.842863,0.526415
2026-06-29 11:12:51,187,-0.938149,0.016735,-0.954884,0.916282,0.43884
2026-06-29 11:12:51,188,-0.564107,0.014529,-0.578637,0.750501,0.461182
2026-06-29 11:12:51,189,-1.031551,0.019659,-1.05121,0.668724,0.143119
2026-06-29 11:12:51,190,-1.355802,0.015121,-1.370923,0.763157,0.077695
2026-06-29 11:12:52,191,-0.879439,0.015259,-0.894697,0.875453,0.428104
2026-06-29 11:12:52,192,-1.164339,0.018333,-1.182673,0.82083,0.229494
2026-06-29 11:12:52,193,-0.463282,0.014137,-0.477419,0.66803,0.42932
2026-06-29 11:12:53,194,-0.798006,0.008696,-0.806703,0.925641,0.52229
2026-06-29 11:12:53,195,-0.384438,0.010689,-0.395126,0.965992,0.768429
2026-06-29 11:12:53,196,-1.889096,0.007981,-1.897078,0.895434,-0.053104
2026-06-29 11:12:54,197,-0.772913,0.016188,-0.789101,0.626031,0.23148
2026-06-29 11:12:54,198,-1.162221,0.006662,-1.168882,0.927012,0.342571
2026-06-29 11:12:55,199,-1.116487,0.015855,-1.132342,0.497083,-0.069088
2026-06-29 11:12:55,200,-0.716316,0.013197,-0.729513,0.861015,0.496258
2026-06-29 11:12:55,201,-1.223702,0.012737,-1.236439,0.840926,0.222707
2026-06-29 11:12:56,202,-0.615792,0.013846,-0.629638,0.953984,0.639166
2026-06-29 11:12:56,203,-1.242817,0.010781,-1.253598,0.956549,0.32975
2026-06-29 11:12:56,204,-0.605352,0.022655,-0.628006,0.926537,0.612534
2026-06-29 11:12:57,205,-0.874386,0.01593,-0.890316,0.915165,0.470007
2026-06-29 11:12:57,206,-1.082984,0.01608,-1.099065,0.943311,0.393779
2026-06-29 11:12:57,207,-0.932716,0.011643,-0.944359,0.936622,0.464442
2026-06-29 11:12:58,208,-0.86754,0.00941,-0.87695,0.97248,0.534005
2026-06-29 11:12:58,209,-1.026544,0.00998,-1.036524,0.938766,0.420504
2026-06-29 11:12:58,210,-0.100668,0.013692,-0.114361,0.929636,0.872455
2026-06-29 11:12:59,211,-1.012609,0.009295,-1.021904,0.964969,0.454016
2026-06-29 11:12:59,212,-1.044428,0.013671,-1.058098,0.894014,0.364965
2026-06-29 11:13:00,213,-1.182271,0.009038,-1.191309,0.963651,0.367997
2026-06-29 11:13:00,214,-0.686807,0.016232,-0.703039,0.905068,0.553549
2026-06-29 11:13:00,215,-0.926471,0.009066,-0.935537,0.939633,0.471864
2026-06-29 11:13:00,216,-0.961902,0.030341,-0.992243,0.919222,0.4231
2026-06-29 11:13:00,217,-0.575711,0.009501,-0.585212,0.953977,0.661371
2026-06-29 11:13:01,218,-1.317303,0.013673,-1.330976,0.820213,0.154725
2026-06-29 11:13:01,219,-0.615611,0.011048,-0.626659,0.95231,0.638981
2026-06-29 11:13:01,220,-0.676353,0.016833,-0.693186,0.903776,0.557183
2026-06-29 11:13:01,221,-0.718376,0.010949,-0.729325,0.900013,0.535351
2026-06-29 11:13:02,222,-0.832005,0.010548,-0.842553,0.924041,0.502764
2026-06-29 11:13:02,223,-0.900922,0.007166,-0.908088,0.947014,0.49297
2026-06-29 11:13:02,224,-0.910088,0.012228,-0.922317,0.871716,0.410557
2026-06-29 11:13:03,225,-0.861962,0.010619,-0.872581,0.931811,0.49552
2026-06-29 11:13:03,226,-1.054284,0.011239,-1.065523,0.843294,0.310532
2026-06-29 11:13:03,227,-0.575862,0.009899,-0.585761,0.945073,0.652193
2026-06-29 11:13:04,228,-0.803782,0.008618,-0.8124,0.939786,0.533586
2026-06-29 11:13:04,229,-1.087942,0.005333,-1.093275,0.947533,0.400896
2026-06-29 11:13:04,230,-1.419546,0.012092,-1.431638,0.819075,0.103256
2026-06-29 11:13:05,231,-1.52491,0.008564,-1.533474,0.955227,0.18849
2026-06-29 11:13:05,232,-0.781983,0.014616,-0.796599,0.924517,0.526218
2026-06-29 11:13:06,233,-0.406027,0.020045,-0.426072,0.773189,0.560153
2026-06-29 11:13:06,234,-0.892444,0.009861,-0.902305,0.793491,0.342338
2026-06-29 11:13:06,235,-1.462484,0.017405,-1.479888,0.84826,0.108316
2026-06-29 11:13:06,236,-0.567147,0.018832,-0.585979,0.773898,0.480908
2026-06-29 11:13:07,237,-1.018577,0.011961,-1.030538,0.804017,0.288748
2026-06-29 11:13:07,238,-1.692761,0.009707,-1.702468,0.924514,0.07328
2026-06-29 11:13:07,239,-0.856102,0.013612,-0.869714,0.727447,0.29259
2026-06-29 11:13:07,240,-0.791001,0.010658,-0.801659,0.718161,0.317331
2026-06-29 11:13:08,241,-0.955569,0.01198,-0.967549,0.806079,0.322305
2026-06-29 11:13:08,242,-1.096767,0.012761,-1.109527,0.79278,0.238016
2026-06-29 11:13:08,243,-0.336254,0.015468,-0.351722,0.881022,0.70516
2026-06-29 11:13:08,244,-0.559599,0.022575,-0.582175,0.811056,0.519969
2026-06-29 11:13:09,245,-0.936326,0.019123,-0.955449,0.773908,0.296183
2026-06-29 11:13:09,246,-0.993582,0.008139,-1.00172,0.889468,0.388607
2026-06-29 11:13:10,247,-1.023272,0.016113,-1.039385,0.7239,0.204208
2026-06-29 11:13:10,248,-1.334362,0.017874,-1.352236,0.727597,0.051479
2026-06-29 11:13:11,249,-1.075747,0.00634,-1.082087,0.898245,0.357201
2026-06-29 11:13:11,250,-0.979143,0.006349,-0.985492,0.891428,0.398682
2026-06-29 11:13:12,251,-0.547822,0.016479,-0.564301,0.771306,0.489156
2026-06-29 11:13:12,252,-0.974978,0.006973,-0.981951,0.86989,0.378915
2026-06-29 11:13:13,253,-0.783609,0.014879,-0.798488,0.656861,0.257617
2026-06-29 11:13:13,254,-0.702763,0.019089,-0.721852,0.901539,0.540613
2026-06-29 11:13:13,255,-0.592103,0.021403,-0.613506,0.926251,0.619498
2026-06-29 11:13:14,256,-1.020402,0.009192,-1.029594,0.761038,0.246241
2026-06-29 11:13:14,257,-0.452758,0.014744,-0.467501,0.669523,0.435772
2026-06-29 11:13:15,258,-1.018911,0.00974,-1.028651,0.806339,0.292014
2026-06-29 11:13:15,259,-0.275507,0.021453,-0.29696,0.605363,0.456883
2026-06-29 11:13:15,260,-0.506066,0.018616,-0.524682,0.720122,0.457781
2026-06-29 11:13:16,261,-0.683971,0.017473,-0.701444,0.601944,0.251222
2026-06-29 11:13:16,262,-1.150533,0.016359,-1.166892,0.659765,0.076318
2026-06-29 11:13:16,263,-0.792493,0.009299,-0.801792,0.851884,0.450988
2026-06-29 11:13:17,264,-0.926616,0.007794,-0.934409,0.878238,0.411033
2026-06-29 11:13:17,265,-1.267894,0.017472,-1.285366,0.837226,0.194543
2026-06-29 11:13:18,266,-1.277283,0.008194,-1.285477,0.853656,0.210917
2026-06-29 11:13:18,267,-0.717204,0.020207,-0.737412,0.875417,0.506711
2026-06-29 11:13:19,268,-1.122163,0.008094,-1.130256,0.901617,0.336489
2026-06-29 11:13:19,269,-1.02366,0.013163,-1.036824,0.819622,0.30121
2026-06-29 11:13:20,270,-1.10078,0.010679,-1.111459,0.758391,0.202662
2026-06-29 11:13:20,271,-0.735732,0.024468,-0.7602,0.886731,0.506631
2026-06-29 11:13:20,272,-1.052621,0.015028,-1.067649,0.73191,0.198085
2026-06-29 11:13:21,273,-0.840132,0.008796,-0.848928,0.833902,0.409438
2026-06-29 11:13:21,274,-0.942982,0.017175,-0.960157,0.600027,0.119949
2026-06-29 11:13:22,275,-1.776894,0.012201,-1.789096,0.851589,-0.042959
2026-06-29 11:13:22,276,-0.436869,0.016798,-0.453666,0.671237,0.444404
2026-06-29 11:13:23,277,-1.038367,0.011747,-1.050114,0.880605,0.355548
2026-06-29 11:13:23,278,-0.542029,0.014618,-0.556647,0.693692,0.415369
2026-06-29 11:13:23,279,-0.480804,0.00867,-0.489474,0.553139,0.308402
2026-06-29 11:13:24,280,-0.907595,0.006426,-0.914022,0.922159,0.465148
2026-06-29 11:13:24,281,-1.25182,0.012401,-1.264222,0.741923,0.109812
2026-06-29 11:13:24,282,-0.862056,0.008796,-0.870852,0.899729,0.464303
2026-06-29 11:13:25,283,-1.06917,0.007578,-1.076747,0.852894,0.31452
2026-06-29 11:13:25,284,-1.148944,0.006152,-1.155096,0.933944,0.356396
2026-06-29 11:13:25,285,-0.853221,0.018981,-0.872202,0.770479,0.334378
2026-06-29 11:13:26,286,-1.002383,0.010273,-1.012655,0.891703,0.385375
2026-06-29 11:13:26,287,-0.197717,0.015094,-0.212812,0.86516,0.758754
2026-06-29 11:13:26,288,-1.043188,0.009705,-1.052893,0.903736,0.377289
2026-06-29 11:13:27,289,-1.119662,0.005991,-1.125653,0.935064,0.372237
2026-06-29 11:13:27,290,-0.708875,0.007813,-0.716688,0.911608,0.553264
2026-06-29 11:13:27,291,-1.073814,0.009088,-1.082902,0.894917,0.353466
2026-06-29 11:13:27,292,-0.431553,0.015816,-0.44737,0.916932,0.693247
2026-06-29 11:13:28,293,-0.726182,0.010208,-0.736389,0.91459,0.546396
2026-06-29 11:13:28,294,-0.458041,0.009962,-0.468002,0.932191,0.69819
2026-06-29 11:13:29,295,-1.001135,0.005043,-1.006177,0.939999,0.436911
2026-06-29 11:13:29,296,-0.519649,0.016115,-0.535764,0.863525,0.595643
2026-06-29 11:13:30,297,-0.651625,0.0118,-0.663425,0.854621,0.522908
2026-06-29 11:13:30,298,-1.00097,0.009777,-1.010747,0.925377,0.420004
2026-06-29 11:13:30,299,-0.363297,0.017023,-0.38032,0.827889,0.637728
2026-06-29 11:13:31,300,-1.097062,0.007505,-1.104566,0.937829,0.385546
2026-06-29 11:13:31,301,-0.907948,0.014432,-0.92238,0.86177,0.400579
2026-06-29 11:13:31,302,-1.756702,0.016065,-1.772767,0.894987,0.008604
2026-06-29 11:13:32,303,-0.888366,0.017663,-0.906029,0.920058,0.467044
2026-06-29 11:13:32,304,-0.54357,0.010776,-0.554346,0.87658,0.599407
2026-06-29 11:13:33,305,-1.013241,0.006614,-1.019855,0.94197,0.432042
2026-06-29 11:13:33,306,-0.459481,0.014717,-0.474198,0.884732,0.647633
2026-06-29 11:13:33,307,-0.641241,0.015641,-0.656882,0.88409,0.555649
2026-06-29 11:13:33,308,-1.241516,0.007703,-1.249219,0.948832,0.324223
2026-06-29 11:13:34,309,-0.435736,0.012842,-0.448579,0.944482,0.720192
2026-06-29 11:13:34,310,-0.599301,0.014773,-0.614074,0.919526,0.612489
2026-06-29 11:13:34,311,-0.80596,0.01171,-0.817671,0.939967,0.531132
2026-06-29 11:13:34,312,-0.558713,0.017354,-0.576067,0.922964,0.63493
2026-06-29 11:13:35,313,-0.912395,0.015907,-0.928303,0.897003,0.432852
2026-06-29 11:13:35,314,-0.657114,0.014232,-0.671347,0.851029,0.515355
2026-06-29 11:13:35,315,-0.582178,0.012291,-0.594468,0.940617,0.643383
2026-06-29 11:13:36,316,-0.585324,0.014271,-0.599596,0.867793,0.567996
2026-06-29 11:13:36,317,-0.783473,0.015138,-0.798611,0.893447,0.494142
2026-06-29 11:13:36,318,-1.175304,0.009121,-1.184425,0.917602,0.325389
2026-06-29 11:13:36,319,-0.889033,0.0141,-0.903133,0.889617,0.43805
2026-06-29 11:13:37,320,-0.477445,0.013318,-0.490763,0.919244,0.673862
2026-06-29 11:13:37,321,-1.317832,0.012261,-1.330093,0.882978,0.217932
2026-06-29 11:13:37,322,-1.023515,0.00711,-1.030625,0.937802,0.422489
2026-06-29 11:13:38,323,-1.121384,0.017708,-1.139092,0.70616,0.136614
2026-06-29 11:13:38,324,-0.849146,0.016323,-0.865469,0.712677,0.279942
2026-06-29 11:13:38,325,-0.904193,0.019028,-0.923221,0.807659,0.346048
2026-06-29 11:13:38,326,-0.3546,0.013974,-0.368574,0.859392,0.675104
2026-06-29 11:13:39,327,-1.446263,0.010848,-1.457112,0.888974,0.160418
2026-06-29 11:13:39,328,-0.583225,0.014451,-0.597676,0.841535,0.542697
2026-06-29 11:13:39,329,-1.126332,0.006604,-1.132936,0.94155,0.375082
